Agência Nacional de Águas - ANA
Superintendência de Gestão da Rede Hidrometeorológica-SGH
Sistema de Informações Hidrológicas - Versão WEB
Fone: (61) 2109-5242
E-mail: hidro@ana.gov.br

NivelConsistencia: 1 = Bruto, 2 = Consistido
MediaDiaria: Indica se a medição é média diaria ou instantânea.  0 = Não, 1 = Sim
MetodoObtencaoVazoes: 1 = Curva de descarga, 2 = Transferência de vazões, 3 = Soma de vazões, 4 = ADCP
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Régua Seca

Restrições da consulta:
Código da Estação:70100000


EstacaoCodigo;NivelConsistencia;Data;Hora;MediaDiaria;MetodoObtencaoVazoes;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31;Vazao01Status;Vazao02Status;Vazao03Status;Vazao04Status;Vazao05Status;Vazao06Status;Vazao07Status;Vazao08Status;Vazao09Status;Vazao10Status;Vazao11Status;Vazao12Status;Vazao13Status;Vazao14Status;Vazao15Status;Vazao16Status;Vazao17Status;Vazao18Status;Vazao19Status;Vazao20Status;Vazao21Status;Vazao22Status;Vazao23Status;Vazao24Status;Vazao25Status;Vazao26Status;Vazao27Status;Vazao28Status;Vazao29Status;Vazao30Status;Vazao31Status
70100000;1;01/03/2025;;1;1;"19,76";"1,4565";"4,8406";1;29;1;1;1;"0,0";0;"19,76";"10,1872";"7,9719";"7,7831";"6,3497";"5,5235";"4,9015";"3,8972";"3,5";"9,7655";"7,7831";"6,5214";"5,8475";"4,9015";"3,8972";"3,5";"3,1228";"3,7626";"3,6302";"3,2463";"3,372";"3,0015";"2,6513";"2,4292";"2,5391";"2,2161";"1,8177";"1,7239";"1,4565";"1,5433";"1,4565";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
70100000;1;01/02/2025;;1;1;"71,1302";"10,6172";"24,6928";16;11;1;1;1;"0,0";0;"21,5381";"22,1468";"16,4199";"23,3879";"29,3629";"22,1468";"19,1832";"15,371";"14,8588";"11,957";"10,6172";"13,371";"26,6288";"16,4199";"18,0537";"71,1302";"56,5054";"46,6112";"26,6288";"20,9375";"15,8914";"12,8914";"11,5021";"11,5021";"16,4199";"26,6288";"39,1063";"54,1797";;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0
70100000;1;01/01/2025;;1;1;"64,0834";"4,4579";"12,4977";31;27;1;1;1;"0,0";0;"25,9649";"21,5381";"16,9564";"13,1302";"11,0555";"9,5578";"9,1487";"8,3557";"7,9719";"9,7655";"9,5578";"8,748";"7,9719";"7,7831";"6,8712";"6,5214";"6,1802";"5,8475";"5,5235";"5,8475";"5,3647";"5,2082";"5,0537";"4,7515";"4,6036";"4,7515";"4,4579";"33,6976";"29,0143";"22,1468";"64,0834";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
70100000;1;01/12/2024;;1;1;"102,6256";"6,0128";"23,682";20;7;1;1;1;"0,0";0;"7,0494";"7,2296";"8,1628";"7,412";"6,8712";"6,6952";"6,0128";"7,412";"7,0494";"6,5214";"6,3497";"7,7831";"9,3522";"11,957";"13,8588";"9,3522";"7,9719";"7,0494";"8,1628";"102,6256";"70,2884";"87,7488";"91,8535";"53,0292";"32,2216";"24,0203";"18,6145";"15,8914";"20,0513";"32,5877";"32,9557";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
70100000;1;01/11/2024;;1;1;"93,698";"3,0015";"15,5294";20;1;1;1;1;"0,0";0;"3,0015";"3,1228";"5,0537";"6,6952";"7,7831";"8,5508";"23,7031";"19,76";"16,4199";"13,8588";"11,0555";"9,7655";"9,1487";"7,7831";"6,8712";"5,8475";"4,7515";"3,5";"8,9473";"93,698";"62,0583";"37,5225";"22,7634";"17,2277";"13,8588";"10,8353";"8,748";"8,3557";"7,412";"7,7831";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
70100000;1;01/10/2024;;1;1;"166,0631";"2,8825";"25,1232";2;31;1;1;1;"0,0";0;"5,0537";"166,0631";"77,9845";"30,7767";"18,3331";"12,8914";"10,8353";"14,3547";"22,7634";"86,8453";"111,3315";"64,4911";"25,9649";"18,0537";"14,6057";"12,4201";"10,4011";"8,5508";"7,0494";"6,1802";"5,5235";"4,9015";"4,3144";"3,8972";"8,9473";"6,6952";"5,3647";"4,4579";"3,7626";"3,1228";"2,8825";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
70100000;1;01/09/2024;;1;1;"89,5654";"2,8825";"12,816";14;3;1;1;1;"0,0";0;"3,372";"3,1228";"2,8825";"2,8825";"21,5381";"8,3557";"7,2296";"6,3497";"5,5235";"5,0537";"4,6036";"3,8972";"86,8453";"89,5654";"25,3088";"10,6172";"8,1628";"6,3497";"5,8475";"5,2082";"8,9473";"8,3557";"6,3497";"5,6844";"5,2082";"10,1872";"9,3522";"7,412";"4,9015";"5,3647";;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
70100000;1;01/08/2024;;1;1;"44,8902";"3,0015";"10,7551";8;22;1;1;1;"0,0";0;"8,5508";"7,0494";"5,6844";"6,3497";"36,3548";"25,9649";"27,3006";"44,8902";"24,6606";"15,371";"9,7655";"6,8712";"6,3497";"5,8475";"5,5235";"5,2082";"4,9015";"4,6036";"4,1732";"3,7626";"3,1228";"3,0015";"3,6302";"17,7764";"11,5021";"8,3557";"7,5965";"6,5214";"5,0537";"4,0341";"3,6302";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
70100000;1;01/07/2024;;1;1;"145,2208";"8,5508";"40,5609";7;27;1;1;1;"0,0";0;"15,8914";"13,8588";"11,957";"11,5021";"15,8914";"49,2494";"145,2208";"84,6001";"46,6112";"61,2543";"100,7234";"78,4199";"77,9845";"142,0166";"103,5811";"76,2512";"45,7469";"27,6394";"18,6145";"14,8588";"13,6139";"12,8914";"12,4201";"10,6172";"9,7655";"9,1487";"8,5508";"8,9473";"11,0555";"9,5578";"8,9473";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
70100000;1;01/06/2024;;1;1;"231,4501";"5,0537";"29,7622";26;14;1;1;1;;0;"13,6139";"11,957";"10,4011";"12,8914";"9,9753";"9,5578";"8,9473";"7,9719";"7,412";"6,6952";"6,1802";"5,8475";"5,3647";"5,0537";"5,0537";"5,3647";"21,5381";"135,1571";"17,7764";"30,7767";"19,76";"13,8588";"12,4201";"25,9649";"68,615";"231,4501";"78,8561";"57,6806";"26,9637";"19,76";;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
70100000;1;01/05/2024;;1;1;"168,3111";"14,8588";"53,7816";2;1;1;1;1;"0,0";0;"14,8588";"168,3111";"85,4958";"84,1535";"62,4615";"34,8248";"25,6359";"18,6145";"15,8914";"25,9649";"91,3943";"84,1535";"44,8902";"33,6976";"26,9637";"25,6359";"107,4328";"167,1858";"138,3088";"58,8638";"35,2044";"27,9802";"21,8415";"107,4328";"35,9694";"24,3395";"22,4541";"22,1468";"22,7634";"17,5011";"14,8588";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
70100000;1;01/04/2024;;1;1;"58,0741";"3,7626";"13,7569";14;4;1;1;1;"0,0";0;"7,0494";"5,6844";"4,1732";"3,7626";"14,3547";"24,6606";"15,8914";"10,6172";"7,412";"5,5235";"5,2082";"6,6952";"45,7469";"58,0741";"25,6359";"24,0203";"29,0143";"19,76";"11,5021";"9,3522";"7,9719";"7,0494";"6,6952";"6,0128";"5,5235";"5,5235";"6,0128";"13,371";"11,0555";"9,3522";;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
70100000;1;01/03/2024;;1;1;"65,309";"2,6513";"13,9696";5;31;1;1;1;"0,0";0;"8,9473";"9,7655";"10,8353";"18,6145";"65,309";"30,0659";"22,1468";"22,1468";"53,4118";"28,6676";"17,5011";"12,4201";"10,1872";"7,7831";"6,3497";"5,8475";"18,0537";"13,371";"11,0555";"9,5578";"8,1628";"6,3497";"5,5235";"5,2082";"4,7515";"4,3144";"4,1732";"3,7626";"3,1228";"3,0015";"2,6513";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
70100000;1;01/02/2024;;1;1;"72,8239";"5,6844";"14,7165";14;20;1;1;1;"0,0";0;"16,4199";"13,8588";"10,1872";"8,748";"11,0555";"16,4199";"13,371";"11,0555";"26,6288";"11,957";"7,7831";"6,5214";"6,3497";"72,8239";"30,4203";"19,76";"12,8914";"10,1872";"7,0494";"5,6844";"14,6057";"13,1302";"13,8588";"12,8914";"11,5021";"10,8353";"10,6172";"10,4011";"9,7655";;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0
70100000;1;01/01/2024;;1;1;"74,5309";"4,7515";"26,4264";24;9;1;1;1;;0;"5,3647";"5,8475";"18,0537";"20,9375";"14,8588";"11,957";"9,3522";"6,3497";"4,7515";"14,3547";"22,7634";"17,5011";"14,8588";"11,957";"11,957";"45,7469";"29,0143";"36,7421";"35,2044";"26,6288";"21,5381";"32,2216";"39,9097";"74,5309";"44,8902";"33,6976";"39,1063";"54,9513";"57,288";"32,2216";"24,6606";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
70100000;2;01/12/2023;;1;1;"71,98";"5,2";"21,37";23;14;1;1;1;;;"21,5381";"14,3547";"14,3547";"56,5054";"39,1063";"30,7767";"24,6606";"18,6145";"13,8588";"11,0729";"8,8132";"6,7517";"5,4943";"5,1952";"7,4161";"46,6112";"41,5394";"54,9513";"20,3447";"15,371";"14,3547";"13,371";"71,9754";"32,9557";"20,9375";"14,3547";"9,1764";"7,7569";"7,081";"6,7517";"6,4284";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
70100000;2;01/11/2023;;1;1;"388,34";"10,3";"60,46";17;11;1;1;1;;;"29,3629";"20,3447";"217,797";"70,2885";"36,7421";"27,3006";"19,76";"13,8588";"14,8588";"12,4201";"10,2984";"10,2984";"19,76";"15,371";"14,8588";"211,6838";"388,3423";"127,3853";"58,0741";"32,2216";"24,6606";"32,2216";"45,7469";"27,9802";"20,9375";"16,9564";"13,371";"131,511";"121,2802";"27,9802";;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
70100000;2;01/10/2023;;1;1;"782,12";"11,07";"85,89";7;27;1;1;1;;;"16,9564";"14,8588";"12,8914";"398,833";"135,6807";"46,6112";"782,1209";"132,5493";"99,7769";"75,3894";"48,3625";"51,046";"93,2357";"59,6571";"118,2656";"112,3134";"82,3749";"55,7265";"38,3106";"24,6606";"16,9564";"13,8588";"11,957";"11,5021";"11,5021";"11,5021";"11,0729";"11,0729";"15,8914";"80,6091";"66,9551";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
70100000;2;01/09/2023;;1;1;"156,07";"5,2";"31,24";4;1;1;;1;;;"5,1952";"5,7995";"12,4201";"156,0735";"85,0476";"37,5225";"16,9564";"13,371";"10,2984";"9,545";"8,4555";"8,1034";"7,7569";"9,919";"8,8132";"7,7569";"7,081";"10,2984";"36,7421";"26,6288";"14,3547";"13,371";"22,1468";"37,5225";"32,9557";"101,673";"134,6342";"45,7469";"30,0659";"20,9375";;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
70100000;2;01/08/2023;;1;1;"52,65";"4,34";"10,6";11;4;1;1;1;;;"5,1952";"4,616";"4,616";"4,3361";"5,1952";"5,1952";"5,1952";"5,1952";"5,7995";"4,9024";"52,6475";"34,4471";"28,6676";"13,8588";"7,081";"6,1109";"5,1952";"5,1952";"12,4201";"9,545";"8,8132";"8,1034";"7,4161";"7,081";"25,9649";"14,3547";"8,4555";"6,4284";"5,7995";"5,4943";"5,1952";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
70100000;2;01/07/2023;;1;1;"114,29";"3,54";"18,3";8;7;1;1;1;;;"5,4943";"5,1952";"4,616";"4,616";"4,0628";"3,7961";"3,5363";"114,286";"79,731";"44,0411";"29,3629";"58,0741";"30,0659";"22,1468";"18,6145";"17,5011";"16,9564";"12,4201";"10,683";"9,545";"9,1764";"8,1034";"7,081";"7,081";"6,4284";"6,4284";"6,1109";"5,7995";"5,4943";"5,4943";"5,4943";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
70100000;2;01/06/2023;;1;1;"79,73";"1,72";"11,1";15;11;1;1;1;;;"4,616";"3,7961";"3,2834";"3,0376";"3,0376";"2,799";"2,5677";"2,344";"2,344";"2,1279";"1,7197";"4,9024";"4,3361";"26,6288";"79,731";"52,6475";"23,3879";"16,4199";"10,2984";"8,8132";"7,4161";"6,4284";"7,4161";"10,683";"8,1034";"7,7569";"7,4161";"7,081";"6,1109";"5,7995";;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
70100000;2;01/05/2023;;1;1;"55,73";"2,8";"8,35";4;25;1;1;1;;;"4,616";"4,3361";"4,0628";"55,7265";"18,0537";"25,9649";"18,6145";"12,4201";"8,8132";"7,7569";"6,7517";"6,4284";"6,1109";"5,7995";"5,4943";"4,9024";"4,3361";"4,0628";"4,0628";"3,7961";"3,5363";"3,5363";"3,2834";"3,0376";"2,799";"3,0376";"4,0628";"6,7517";"6,4284";"5,4943";"4,9024";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
70100000;2;01/04/2023;;1;1;"66,13";"4,34";"10,17";17;30;1;1;1;;;"13,8588";"11,957";"10,2984";"11,0729";"13,8588";"11,0729";"7,4161";"6,7517";"6,4284";"7,4161";"6,7517";"6,4284";"6,1109";"5,7995";"5,1952";"5,7995";"66,1303";"21,5381";"12,4201";"10,2984";"8,8132";"6,7517";"6,4284";"6,1109";"5,7995";"5,4943";"5,1952";"4,9024";"4,616";"4,3361";;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
70100000;2;01/03/2023;;1;1;"244,1";"7,42";"26,36";6;21;1;1;1;;;"12,8914";"10,683";"11,5021";"13,371";"14,3547";"244,1018";"75,3894";"32,2216";"24,0203";"22,1468";"42,3657";"47,483";"35,2044";"20,3447";"15,8914";"13,371";"10,2984";"9,1764";"8,4555";"8,1034";"7,4161";"7,4161";"15,8914";"24,0203";"14,3547";"9,919";"9,545";"8,1034";"8,8132";"24,0203";"16,4199";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
70100000;2;01/02/2023;;1;1;"130,48";"6,75";"24,1";21;14;1;1;1;;;"49,2495";"26,6288";"36,7421";"28,6676";"23,3879";"19,1832";"16,9564";"15,371";"14,3547";"13,8588";"13,371";"9,919";"8,1034";"6,7517";"16,4199";"12,4201";"10,2984";"10,2984";"9,919";"12,8914";"130,4755";"51,887";"32,2216";"28,6676";"21,5381";"15,8914";"24,0203";"15,371";;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;
70100000;2;01/01/2023;;1;1;"116,27";"3,54";"31,91";18;10;1;1;1;;;"8,1034";"9,919";"7,7569";"6,4284";"7,081";"6,1109";"4,9024";"4,0628";"3,7961";"3,5363";"14,8588";"9,919";"10,2984";"10,2984";"19,76";"29,3629";"91,3943";"116,2701";"64,4911";"37,5225";"58,8638";"65,309";"92,3135";"77,1162";"49,2495";"30,7767";"24,0203";"24,0203";"22,7634";"31,4953";"47,483";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
70100000;2;01/12/2022;;1;1;"142,02";"6,75";"28,55";1;12;1;1;1;;;"142,0166";"51,887";"56,5054";"53,4118";"58,8638";"44,8902";"27,3006";"18,6145";"13,371";"9,919";"7,4161";"6,7517";"20,9375";"13,371";"10,683";"8,1034";"11,957";"67,7833";"84,1535";"32,9557";"24,6606";"21,5381";"14,3547";"10,2984";"9,545";"8,8132";"8,4555";"13,371";"12,4201";"11,0729";"9,545";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
70100000;2;01/11/2022;;1;1;"313,42";"1,72";"31,98";27;25;1;1;1;;;"6,4284";"6,4284";"6,4284";"6,1109";"5,7995";"5,4943";"5,4943";"5,1952";"5,7995";"5,4943";"5,1952";"5,1952";"4,9024";"4,616";"4,3361";"4,0628";"4,0628";"3,7961";"3,2834";"2,799";"2,5677";"2,344";"2,1279";"1,9198";"1,7197";"1,7197";"313,4247";"110,3524";"211,6838";"210,4682";;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
70100000;2;01/10/2022;;1;1;"209,25";"3,28";"21,16";11;5;1;1;1;;;"4,3361";"4,0628";"3,7961";"3,5363";"3,2834";"4,9024";"8,4555";"9,1764";"8,1034";"12,8914";"209,255";"71,9754";"33,6976";"41,5394";"35,9694";"30,7767";"26,6288";"20,9375";"16,9564";"14,8588";"13,8588";"11,5021";"9,545";"8,1034";"6,7517";"6,4284";"6,1109";"5,7995";"7,4161";"8,1034";"7,081";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
70100000;2;01/09/2022;;1;1;"17,5";"3,8";"6,2";20;29;1;1;1;;;"6,4284";"5,7995";"5,4943";"5,1952";"4,616";"4,616";"4,9024";"5,1952";"4,616";"4,0628";"4,3361";"5,7995";"11,0729";"9,919";"9,1764";"8,1034";"7,4161";"5,7995";"6,1109";"17,5011";"8,8132";"6,1109";"5,1952";"4,3361";"4,3361";"4,9024";"4,3361";"4,0628";"3,7961";"4,0628";;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
70100000;2;01/08/2022;;1;1;"239,01";"4,34";"22,37";10;5;1;1;1;;;"5,4943";"4,9024";"4,9024";"4,616";"4,3361";"4,3361";"5,1952";"8,1034";"23,3879";"239,014";"66,9551";"32,2216";"26,6288";"22,1468";"17,5011";"23,3879";"18,0537";"32,2216";"22,1468";"17,5011";"13,8588";"12,4201";"11,5021";"10,2984";"9,1764";"8,4555";"8,4555";"11,0729";"10,2984";"8,1034";"6,7517";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
70100000;2;01/07/2022;;1;1;"25,96";"5,2";"10,58";17;28;1;1;1;;;"19,1832";"16,4199";"13,8588";"12,4201";"11,0729";"9,919";"8,8132";"8,1034";"7,081";"6,4284";"6,1109";"12,4201";"10,2984";"11,5021";"17,5011";"16,4199";"25,9649";"14,8588";"11,5021";"10,2984";"9,1764";"9,545";"7,081";"7,081";"6,7517";"6,4284";"5,7995";"5,1952";"5,7995";"8,1034";"6,7517";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
